accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-0.23,0.01,-1.24,2.93,0.43,0.61,0.00,0.00,0.24,0.00,2
-0.24,0.01,-1.24,2.38,-0.92,0.67,0.00,0.00,0.14,0.00,2
-0.24,0.00,-1.24,2.44,-0.06,0.12,0.00,0.00,0.18,0.00,2
-0.24,0.01,-1.24,2.69,-0.12,0.24,0.00,0.00,0.19,0.00,2
-0.24,0.01,-1.24,2.87,-0.06,0.24,0.00,0.00,0.20,0.00,2
-0.24,0.00,-1.23,2.69,-0.12,0.00,0.00,0.00,0.16,0.00,2
-0.24,0.01,-1.24,2.81,0.31,0.18,0.00,0.00,0.22,0.00,2
-0.24,0.01,-1.24,2.62,-0.18,0.12,0.00,0.00,0.22,0.00,2
-0.24,0.01,-1.24,2.62,-0.55,0.06,0.00,0.00,0.15,0.00,2
-0.24,0.01,-1.23,2.62,0.06,0.00,0.00,0.00,0.18,0.00,2
-0.23,0.01,-1.24,2.26,0.24,0.18,0.00,0.00,0.16,0.00,2
-0.24,0.01,-1.23,2.38,0.00,0.24,0.00,0.00,0.15,0.00,2
-0.23,0.00,-1.24,2.44,0.18,0.43,0.00,0.00,0.16,0.00,2
-0.23,0.00,-1.24,2.62,-0.18,0.31,0.00,0.00,0.17,0.00,2
-0.23,0.01,-1.24,2.38,0.12,0.37,0.00,0.00,0.16,0.00,2
-0.23,0.00,-1.23,2.69,-0.49,0.37,0.00,0.00,0.20,0.00,2
-0.24,0.00,-1.24,3.05,0.00,-0.18,0.00,0.00,0.16,0.00,2
-0.17,-0.04,-1.18,3.91,3.05,-0.18,0.00,0.00,0.22,0.00,2
-0.24,0.01,-1.23,2.32,0.06,0.24,0.00,0.00,0.21,0.00,2
-0.24,0.01,-1.23,2.26,0.12,0.06,0.00,0.00,0.15,0.00,2
-0.24,0.01,-1.25,2.38,-0.92,-0.06,0.00,0.00,0.20,0.00,2
-0.25,-0.00,-1.23,3.30,0.24,0.06,0.00,0.00,0.17,0.00,2
-0.24,0.01,-1.23,1.10,-5.86,0.55,0.00,0.00,0.20,0.00,2
-0.23,0.00,-1.23,2.26,-0.49,0.00,0.00,0.00,0.18,0.00,2
-0.23,-0.01,-1.23,3.17,-0.18,0.00,0.00,0.00,0.18,0.00,2
-0.23,0.01,-1.24,3.48,-0.24,-0.24,0.00,0.00,0.16,0.00,2
-0.23,0.01,-1.24,2.08,0.67,0.18,0.00,0.00,0.17,0.00,2
-0.23,-0.00,-1.22,3.97,-0.92,-0.06,0.00,0.00,0.20,0.00,2
-0.23,0.01,-1.27,2.69,-0.49,0.31,0.00,0.00,0.00,0.00,2
-0.21,0.03,-1.26,-2.20,6.90,-0.55,0.00,0.00,0.00,0.00,2
-0.21,0.01,-1.22,2.69,-4.76,0.37,0.00,0.00,0.00,0.00,2
-0.24,0.01,-1.24,4.33,5.74,1.83,0.00,0.00,0.00,0.00,2
-0.25,0.01,-1.24,1.77,0.92,0.00,0.00,0.00,0.00,0.00,2
-0.24,0.01,-1.24,2.32,-0.12,0.31,0.00,0.00,0.00,0.00,2
-0.24,0.00,-1.23,2.69,0.79,0.12,0.00,0.00,0.00,0.00,2
-0.24,0.01,-1.24,2.56,0.98,0.12,0.54,0.00,0.00,0.00,2
-0.24,0.01,-1.24,2.44,-0.24,0.24,0.72,0.00,0.00,0.00,2
-0.24,0.01,-1.23,2.50,0.06,0.00,0.72,0.00,0.00,0.00,2
-0.24,0.01,-1.24,2.44,1.22,0.12,0.00,0.00,0.00,0.00,2
-0.24,0.01,-1.25,2.44,-0.18,0.24,0.62,0.00,0.00,0.00,2
-0.24,0.01,-1.23,2.69,0.00,0.18,0.71,0.00,0.00,0.00,2
-0.24,0.00,-1.23,2.69,0.00,0.18,0.69,0.00,0.00,0.00,2
-0.25,0.01,-1.24,2.38,-0.37,0.12,0.05,0.00,0.00,0.00,2
-0.24,0.01,-1.23,2.38,0.55,-0.06,0.00,0.00,0.00,0.00,2
-0.25,0.01,-1.24,2.56,0.31,0.37,0.00,0.00,0.00,0.00,2
-0.24,0.01,-1.23,2.62,-0.43,0.18,0.00,0.00,0.81,0.00,2
-0.24,0.01,-1.23,2.50,-0.06,0.12,0.00,0.00,0.92,0.00,2
-0.24,0.01,-1.23,2.81,-0.24,0.18,0.00,0.00,0.98,0.00,2
-0.24,0.01,-1.24,2.81,-0.49,0.18,0.00,0.00,0.30,0.00,2
-0.23,0.01,-1.22,2.50,0.92,0.85,0.00,0.00,0.00,0.00,2
-0.24,0.01,-1.24,2.62,0.06,0.18,0.00,1.08,0.00,0.00,2
-0.25,0.01,-1.24,2.44,-0.61,-0.18,0.00,1.20,0.00,0.00,2
-0.24,0.01,-1.24,2.69,0.18,-0.31,0.00,0.00,0.00,0.00,2
-0.25,0.01,-1.23,2.32,0.61,0.12,0.00,0.00,0.00,0.00,2
-0.24,0.01,-1.24,2.75,0.55,0.24,0.00,0.00,0.00,0.00,2
-0.25,0.01,-1.24,2.56,-0.31,0.31,0.00,0.00,0.83,0.00,2
-0.25,0.01,-1.24,2.38,0.49,0.24,0.00,0.22,0.86,0.00,2
-0.24,0.01,-1.23,2.50,0.06,-0.12,0.00,1.10,0.87,0.00,2
-0.25,0.02,-1.23,2.75,0.18,0.12,0.00,1.05,0.85,0.00,2
-0.25,0.01,-1.23,2.50,-1.95,1.89,0.00,0.00,0.00,0.00,2
-0.25,0.01,-1.24,2.81,0.12,0.67,0.00,0.00,0.00,0.00,2
-0.24,0.00,-1.23,2.75,0.67,0.24,0.00,0.00,0.00,0.00,2
-0.24,0.01,-1.24,2.44,-0.49,0.06,0.81,1.07,0.00,0.00,2
-0.25,0.01,-1.23,2.87,0.37,0.61,0.86,1.20,0.00,0.00,2
-0.25,0.01,-1.24,2.20,0.31,0.18,0.00,0.00,0.00,0.00,2
-0.25,0.01,-1.24,2.75,0.55,-0.06,0.00,0.00,0.00,0.00,2
-0.24,0.01,-1.24,2.50,0.73,0.31,0.00,0.00,0.00,0.00,2
-0.24,0.01,-1.23,2.87,-0.06,0.18,0.00,0.00,0.00,0.00,2
-0.24,0.01,-1.23,2.50,0.00,0.24,0.00,0.00,0.00,0.00,2
-0.24,0.01,-1.24,2.56,0.24,0.24,0.00,0.00,0.00,0.00,2
-0.24,0.01,-1.23,2.44,0.00,0.00,0.00,0.00,0.00,0.00,2
-0.24,0.01,-1.23,2.32,0.12,0.18,0.00,0.00,0.00,0.00,2
