accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3
-0.01,0.02,-1.25,2.62,-0.24,-0.24,0.00,0.00,0.00
-0.03,0.02,-1.25,3.42,-0.18,-0.12,0.00,0.00,0.00
0.00,0.02,-1.25,1.53,-0.31,-0.12,0.00,0.00,0.60
-0.00,0.02,-1.25,2.56,-0.18,-0.12,0.00,0.00,0.83
-0.01,0.02,-1.26,3.72,-0.98,0.24,0.00,0.00,0.64
-0.01,0.02,-1.25,3.42,-1.04,0.12,0.00,0.00,0.00
-0.01,0.03,-1.26,2.50,0.49,-0.12,0.00,0.00,0.00
-0.01,0.02,-1.26,2.56,-0.12,-0.12,0.00,0.48,0.00
-0.01,0.02,-1.26,1.95,0.73,-0.31,0.00,0.88,0.00
-0.01,0.02,-1.25,3.48,-1.10,-0.18,0.00,0.05,0.00
-0.01,0.01,-1.25,4.64,-0.92,-0.31,0.00,0.00,0.00
-0.00,0.03,-1.25,2.69,0.12,-0.24,0.65,0.00,0.00
-0.01,0.02,-1.25,2.62,0.31,0.06,0.82,0.00,0.00
-0.01,0.01,-1.26,2.32,0.49,-0.31,0.89,0.00,0.00
-0.01,0.03,-1.26,3.72,-1.53,-0.31,0.00,0.00,0.00
0.01,0.03,-1.26,3.36,-0.61,-0.31,0.00,0.00,0.00
0.01,0.03,-1.25,2.81,-0.31,-0.06,0.00,0.00,0.00
0.01,0.03,-1.25,3.30,-0.55,0.00,0.00,0.00,0.00
0.02,0.03,-1.25,2.32,0.00,-0.06,0.00,0.00,0.00
0.01,0.02,-1.26,2.62,0.00,-0.12,0.00,0.00,0.00
0.01,0.03,-1.26,2.56,-0.06,0.06,0.00,0.00,0.00
0.01,0.02,-1.24,2.38,0.73,-0.24,0.00,0.00,0.00
0.01,0.02,-1.26,3.78,-1.04,-0.31,0.00,0.00,0.00
0.01,0.02,-1.26,2.56,0.37,-0.06,0.00,0.00,0.00
0.00,0.03,-1.26,3.17,-0.49,-0.31,0.00,0.00,0.00
0.01,0.03,-1.25,2.87,0.31,-0.12,0.00,0.00,0.00
